Waktu (detik),Tegangan (V),Arus (A)
250.0,13.4,3.0900000000000003
251.0,13.04,4.7
252.0,12.96,4.8
253.0,13.23,2.94
254.0,12.82,4.89
255.0,12.96,4.21
256.0,12.96,4.16
257.0,12.79,4.89
258.0,12.77,4.8
259.0,12.94,4.11
260.0,13.06,3.62
261.0,12.79,4.5
262.0,12.99,3.77
263.0,12.99,3.77
264.0,12.82,4.55
265.0,12.94,3.97
266.0,13.04,3.23
267.0,12.84,4.45
268.0,12.72,4.7
269.0,13.11,2.84
270.0,12.79,4.11
271.0,12.82,4.16
272.0,13.13,2.99
273.0,12.99,3.23
274.0,12.77,4.6
275.0,12.87,3.72
276.0,12.94,3.72
277.0,12.84,4.21
278.0,12.96,3.33
279.0,12.7,4.36
280.0,12.94,3.23
281.0,12.77,4.5
282.0,12.74,4.6
283.0,12.72,4.26
284.0,12.84,4.06
285.0,12.74,4.16
286.0,12.87,3.97
287.0,13.04,3.23
288.0,12.87,3.8200000000000003
289.0,12.92,3.33
290.0,13.06,3.14
291.0,12.96,3.0900000000000003
292.0,13.06,2.79
293.0,12.79,3.72
294.0,12.89,3.33
295.0,12.7,4.6
296.0,12.65,4.6499999999999995
297.0,12.96,3.48
298.0,13.04,3.18
299.0,13.04,2.84
300.0,12.74,4.36
301.0,12.89,3.77
302.0,12.67,4.26
303.0,12.65,4.26
304.0,12.84,3.87
305.0,12.84,3.92
306.0,12.87,3.8200000000000003
307.0,12.77,4.16
308.0,12.72,4.5
309.0,12.82,3.97
310.0,13.04,2.79
311.0,13.01,2.75
312.0,12.89,3.18
313.0,12.6,4.7
314.0,12.7,4.41
315.0,12.62,4.31
316.0,13.01,2.84
317.0,12.89,3.18
318.0,12.84,3.72
319.0,12.99,2.84
320.0,12.82,3.2800000000000002
321.0,12.89,3.14
322.0,12.82,3.72
323.0,12.62,4.45
324.0,12.6,4.31
325.0,12.72,4.16
326.0,12.84,3.58
327.0,12.74,4.02
328.0,12.82,3.33
329.0,12.7,4.26
330.0,12.57,4.55
331.0,12.6,4.21
332.0,12.74,4.02
333.0,12.62,4.45
334.0,12.89,3.43
335.0,12.82,3.58
336.0,12.79,3.23
337.0,12.57,4.55
338.0,12.77,3.72
339.0,12.96,2.79
340.0,12.82,3.62
341.0,12.89,3.33
342.0,12.74,3.43
343.0,12.94,2.79
344.0,12.74,3.87
345.0,12.77,3.8200000000000003
346.0,12.7,3.58
347.0,12.92,3.18
348.0,12.77,3.77
349.0,12.84,3.04
350.0,12.99,2.94
351.0,12.62,4.5
352.0,12.65,4.26
353.0,12.6,3.92
354.0,12.96,2.89
355.0,12.84,3.0900000000000003
356.0,12.96,2.6
357.0,12.92,2.79
358.0,12.74,3.8200000000000003
359.0,12.77,4.26
360.0,12.96,2.84
361.0,12.74,3.67
362.0,12.94,3.3800000000000003
363.0,12.55,4.6
364.0,12.84,3.58
365.0,12.5,4.55
366.0,12.55,4.7
367.0,12.55,4.41
368.0,12.84,3.62
369.0,12.94,2.99
370.0,12.87,3.23
371.0,12.67,4.21
372.0,12.7,4.11
373.0,12.89,3.14
374.0,12.89,3.0900000000000003
375.0,12.67,4.16
376.0,12.87,3.14
377.0,12.62,4.11
378.0,12.87,3.14
379.0,12.57,4.21
380.0,12.67,3.8200000000000003
381.0,12.74,3.04
382.0,12.57,4.02
383.0,12.77,3.14
384.0,12.74,2.84
385.0,12.6,3.8200000000000003
386.0,12.7,3.5300000000000002
387.0,12.45,4.41
388.0,12.52,4.16
389.0,12.89,2.79
390.0,12.84,2.79
391.0,12.65,3.43
392.0,12.5,3.77
393.0,12.67,3.3800000000000003
394.0,12.84,2.6
395.0,12.72,3.23
396.0,12.5,4.11
397.0,12.82,3.14
398.0,12.45,4.36
399.0,12.72,3.43
400.0,12.87,2.55
401.0,12.79,2.79
402.0,12.45,4.36
403.0,12.82,2.79
404.0,12.67,3.43
405.0,12.74,3.23
406.0,12.43,4.45
407.0,12.5,4.31
408.0,12.74,2.99
409.0,12.67,3.3800000000000003
410.0,12.87,2.89
411.0,12.65,3.87
412.0,12.65,3.77
413.0,12.77,2.99
414.0,12.67,3.18
415.0,12.52,4.36
416.0,12.48,4.26
417.0,12.52,3.58
418.0,12.82,2.79
419.0,12.89,2.75
420.0,12.62,3.43
421.0,12.84,2.94
422.0,12.45,3.92
423.0,12.5,3.43
424.0,12.5,3.8200000000000003
425.0,12.7,2.99
426.0,12.65,3.18
427.0,12.67,3.23
428.0,12.74,2.99
429.0,12.67,3.5300000000000002
430.0,12.87,2.6
431.0,12.87,2.65
432.0,12.38,4.21
433.0,12.45,4.26
434.0,12.65,3.33
435.0,12.43,4.02
436.0,12.43,3.8200000000000003
437.0,12.62,3.5300000000000002
438.0,12.62,3.18
439.0,12.52,3.87
440.0,12.57,3.77
441.0,12.7,3.33
442.0,12.84,2.79
443.0,12.6,3.62
444.0,12.4,4.11
445.0,12.55,3.8200000000000003
446.0,12.72,2.94
447.0,12.35,4.31
448.0,12.82,2.55
449.0,12.43,3.97
450.0,12.57,3.72
451.0,12.38,3.97
452.0,12.67,3.33
453.0,12.45,4.26
454.0,12.82,2.5
455.0,12.79,2.89
456.0,12.43,3.97
457.0,12.33,4.16
458.0,12.7,2.89
459.0,12.77,3.04
460.0,12.77,2.75
461.0,12.74,2.99
462.0,12.79,2.7
463.0,12.77,2.99
464.0,12.77,2.65
465.0,12.82,2.6
466.0,12.82,2.79
467.0,12.62,3.23
468.0,12.67,2.94
469.0,12.48,4.02
470.0,12.43,4.16
471.0,12.79,2.55
472.0,12.57,3.23
473.0,12.79,2.79
474.0,12.7,2.84
475.0,12.43,3.8200000000000003
476.0,12.82,2.84
477.0,12.62,3.0900000000000003
478.0,12.82,2.6
479.0,12.5,3.77
480.0,12.82,2.6
481.0,12.45,3.5300000000000002
482.0,12.57,3.62
483.0,12.33,4.31
484.0,12.6,3.58
485.0,12.4,3.87
486.0,12.43,4.21
487.0,12.77,2.65
488.0,12.45,4.02
489.0,12.35,4.16
490.0,12.82,2.75
491.0,12.35,4.36
492.0,12.72,2.7
493.0,12.43,4.16
494.0,12.79,2.55
495.0,12.4,3.87
496.0,12.72,2.65
497.0,12.38,3.92
498.0,12.48,3.92
499.0,12.72,2.7
500.0,12.33,4.36
501.0,12.82,2.7
502.0,12.35,4.06
503.0,12.7,2.79
504.0,12.77,2.6
505.0,12.48,3.48
506.0,12.52,3.77
507.0,12.72,2.79
508.0,12.62,3.3800000000000003
509.0,12.7,2.94
510.0,12.79,2.84
511.0,12.43,4.06
512.0,12.79,2.65
513.0,12.72,2.75
514.0,12.48,3.3800000000000003
515.0,12.72,2.7
516.0,12.4,4.11
517.0,12.33,3.97
518.0,12.67,3.14
519.0,12.6,3.48
520.0,12.48,3.77
521.0,12.77,2.65
522.0,12.5,3.3800000000000003
523.0,12.4,3.58
524.0,12.52,3.8200000000000003
525.0,12.77,2.75
526.0,12.38,4.21
527.0,12.4,4.26
528.0,12.43,4.06
529.0,12.67,2.79
530.0,12.52,3.62
531.0,12.77,2.89
532.0,12.77,2.45
533.0,12.33,3.92
534.0,12.79,2.65
535.0,12.72,2.5
536.0,12.77,2.84
537.0,12.72,2.65
538.0,12.74,2.5
539.0,12.77,2.5
540.0,12.4,3.67
541.0,12.3,4.16
542.0,12.55,3.48
543.0,12.45,3.67
544.0,12.74,2.79
545.0,12.72,2.6
546.0,12.43,3.43
547.0,12.57,3.2800000000000002
548.0,12.65,3.18
549.0,12.38,3.92
550.0,12.6,3.04
551.0,12.45,3.77
552.0,12.67,2.94
553.0,12.4,4.02
554.0,12.7,2.99
555.0,12.5,3.23
556.0,12.74,2.35
557.0,12.4,4.02
558.0,12.57,3.2800000000000002
559.0,12.38,3.97
560.0,12.5,3.5300000000000002
561.0,12.28,4.16
562.0,12.7,2.5
563.0,12.67,2.7
564.0,12.55,3.3800000000000003
565.0,12.52,3.48
566.0,12.45,3.3800000000000003
567.0,12.7,2.65
568.0,12.45,3.72
569.0,12.67,2.79
570.0,12.3,4.31
571.0,12.7,2.5
572.0,12.57,3.3800000000000003
573.0,12.67,2.65
574.0,12.62,3.0900000000000003
575.0,12.7,2.55
576.0,12.67,2.94
577.0,12.67,2.75
578.0,12.62,2.89
579.0,12.65,2.99
580.0,12.35,4.16
581.0,12.3,4.11
582.0,12.74,2.45
583.0,12.74,2.4
584.0,12.43,3.8200000000000003
585.0,12.38,4.02
586.0,12.33,3.92
587.0,12.7,2.6
588.0,12.7,2.6
589.0,12.74,2.6
590.0,12.7,2.6
591.0,12.67,2.84
592.0,12.33,3.8200000000000003
593.0,12.35,4.11
594.0,12.5,3.48
595.0,12.65,2.7
596.0,12.7,2.5
597.0,12.35,4.11
598.0,12.3,4.26
599.0,12.65,3.14
600.0,12.62,3.0900000000000003
601.0,12.6,3.18
602.0,12.6,3.04
603.0,12.7,2.55
604.0,12.3,4.26
605.0,12.48,3.5300000000000002
606.0,12.48,3.14
607.0,12.28,3.97
608.0,12.52,3.3800000000000003
609.0,12.65,2.99
610.0,12.72,2.55
611.0,12.35,4.02
612.0,12.5,3.48
613.0,12.65,2.75
614.0,12.5,3.18
615.0,12.5,3.48
616.0,12.35,4.06
617.0,12.43,3.87
618.0,12.33,4.16
619.0,12.43,3.8200000000000003
620.0,12.67,2.65
621.0,12.57,2.99
622.0,12.3,4.26
623.0,12.28,4.02
624.0,12.45,3.62
625.0,12.5,3.5300000000000002
626.0,12.28,4.26
627.0,12.28,3.97
628.0,12.74,2.55
629.0,12.67,2.65
630.0,12.62,3.14
631.0,12.65,3.04
632.0,12.33,4.16
633.0,12.4,3.72
634.0,12.5,3.0900000000000003
635.0,12.7,2.75
636.0,12.65,2.65
637.0,12.72,2.55
638.0,12.52,3.18
639.0,12.38,3.58
640.0,12.6,3.0900000000000003
641.0,12.35,4.02
642.0,12.28,4.21
643.0,12.48,3.58
644.0,12.55,3.14
645.0,12.72,2.75
646.0,12.7,2.35
647.0,12.33,4.16
648.0,12.45,3.67
649.0,12.52,3.04
650.0,12.28,4.21
651.0,12.55,3.14
652.0,12.3,4.21
653.0,12.43,3.8200000000000003
654.0,12.28,4.36
655.0,12.65,3.04
656.0,12.35,4.06
657.0,12.62,2.99
658.0,12.67,2.5
659.0,12.57,3.23
660.0,12.33,3.5300000000000002
661.0,12.48,3.0900000000000003
662.0,12.5,3.3800000000000003
663.0,12.45,3.58
664.0,12.7,2.4
665.0,12.55,3.2800000000000002
666.0,12.65,2.75
667.0,12.28,3.92
668.0,12.65,2.65
669.0,12.26,4.11
670.0,12.6,2.75
671.0,12.4,3.87
672.0,12.3,4.26
673.0,12.65,2.94
674.0,12.57,2.79
675.0,12.5,3.3800000000000003
676.0,12.4,3.33
677.0,12.55,2.99
678.0,12.65,2.99
679.0,12.7,2.35
680.0,12.43,3.67
681.0,12.5,3.33
682.0,12.28,4.21
683.0,12.55,2.75
684.0,12.5,3.14
685.0,12.55,3.23
686.0,12.62,3.04
687.0,12.38,3.8200000000000003
688.0,12.4,3.8200000000000003
689.0,12.5,2.94
690.0,12.5,3.2800000000000002
691.0,12.33,4.06
692.0,12.67,2.5
693.0,12.3,3.48
694.0,12.6,2.65
695.0,12.4,3.14
696.0,12.7,2.45
697.0,12.65,2.55
698.0,12.52,3.2800000000000002
699.0,12.28,4.06
700.0,12.3,4.11
701.0,12.67,2.55
702.0,12.62,2.65
703.0,12.52,3.14
704.0,12.72,2.55
705.0,12.43,3.58
706.0,12.3,4.11
707.0,12.45,3.48
708.0,12.28,4.11
709.0,12.62,2.94
710.0,12.67,2.45
711.0,12.28,4.31
712.0,12.23,4.02
713.0,12.26,4.16
714.0,12.67,2.4
715.0,12.48,3.3800000000000003
716.0,12.57,2.75
717.0,12.35,3.58
718.0,12.43,3.58
719.0,12.52,3.23
720.0,12.38,3.3800000000000003
721.0,12.23,4.16
722.0,12.52,2.84
723.0,12.3,4.16
724.0,12.38,3.77
725.0,12.5,3.04
