Waktu (detik),Tegangan (V),Arus (A)
241.0,24.5,2.57
242.0,24.5,2.61
243.0,24.49,2.71
244.0,24.49,2.94
245.0,24.49,3.04
246.0,24.5,3.0100000000000002
247.0,24.51,2.91
248.0,24.51,2.87
249.0,24.52,2.82
250.0,24.53,2.68
251.0,24.54,2.57
252.0,24.53,2.52
253.0,24.55,2.44
254.0,24.55,2.2600000000000002
255.0,24.54,2.3
256.0,24.53,2.45
257.0,24.52,2.65
258.0,24.52,2.7600000000000002
259.0,24.51,2.94
260.0,24.5,3.0500000000000003
261.0,24.5,3.12
262.0,24.49,3.31
263.0,24.48,3.3200000000000003
264.0,24.48,3.4
265.0,24.48,3.43
266.0,24.49,3.29
267.0,24.5,3.22
268.0,24.49,3.27
269.0,24.5,3.2800000000000002
270.0,24.5,3.14
271.0,24.5,3.23
272.0,24.5,3.08
273.0,24.5,3.14
274.0,24.5,3.24
275.0,24.51,3.0900000000000003
276.0,24.5,3.15
277.0,24.49,3.17
278.0,24.5,3.1
279.0,24.5,3.06
280.0,24.49,3.15
281.0,24.49,3.12
282.0,24.49,3.22
283.0,24.49,3.17
284.0,24.49,3.14
285.0,24.49,3.3400000000000003
286.0,24.49,3.33
287.0,24.49,3.24
288.0,24.49,3.21
289.0,24.5,3.0900000000000003
290.0,24.5,3.15
291.0,24.5,3.12
292.0,24.5,3.1100000000000003
293.0,24.49,3.29
294.0,24.49,3.29
295.0,24.5,3.2
296.0,24.5,3.25
297.0,24.5,3.2800000000000002
298.0,24.5,3.3400000000000003
299.0,24.5,3.43
300.0,24.5,3.2800000000000002
301.0,24.51,3.1300000000000003
302.0,24.51,3.14
303.0,24.51,3.0
304.0,24.51,2.87
305.0,24.51,2.7600000000000002
306.0,24.51,2.66
307.0,24.5,2.77
308.0,24.5,2.78
309.0,24.5,2.69
310.0,24.49,2.82
311.0,24.48,3.0100000000000002
312.0,24.49,3.0300000000000002
313.0,24.49,3.0300000000000002
314.0,24.5,3.0
315.0,24.49,3.04
316.0,24.49,3.06
317.0,24.49,2.92
318.0,24.49,2.89
319.0,24.49,2.93
320.0,24.5,2.78
321.0,24.51,2.65
322.0,24.51,2.6
323.0,24.51,2.67
324.0,24.5,2.83
325.0,24.49,2.89
326.0,24.5,2.84
327.0,24.51,2.8
328.0,24.51,2.75
329.0,24.51,2.91
330.0,24.5,3.0500000000000003
331.0,24.5,3.08
332.0,24.51,3.06
333.0,24.51,2.98
334.0,24.52,2.85
335.0,24.53,2.8
336.0,24.52,2.91
337.0,24.52,2.98
338.0,24.52,3.02
339.0,24.53,2.97
340.0,24.52,2.99
341.0,24.52,3.0500000000000003
342.0,24.52,3.0700000000000003
343.0,24.51,3.0
344.0,24.51,2.98
345.0,24.5,3.0500000000000003
346.0,24.49,3.06
347.0,24.49,3.18
348.0,24.49,3.2
349.0,24.49,3.0500000000000003
350.0,24.49,3.08
351.0,24.49,3.0700000000000003
352.0,24.49,2.97
353.0,24.49,3.18
354.0,24.49,3.12
355.0,24.49,3.2
356.0,24.5,3.19
357.0,24.51,3.0100000000000002
358.0,24.5,3.0
359.0,24.5,3.12
360.0,24.51,2.94
361.0,24.5,3.0
362.0,24.5,3.0700000000000003
363.0,24.5,3.0700000000000003
364.0,24.5,3.1300000000000003
365.0,24.5,3.1100000000000003
366.0,24.51,2.97
367.0,24.5,3.06
368.0,24.5,3.1
369.0,24.5,3.1300000000000003
370.0,24.5,3.1300000000000003
371.0,24.5,3.17
372.0,24.5,3.18
373.0,24.5,3.19
374.0,24.5,3.3000000000000003
375.0,24.51,3.16
376.0,24.51,3.18
377.0,24.5,3.2600000000000002
378.0,24.5,3.25
