Waktu (detik),Tegangan (V),Arus (A)
247.0,11.79,2.0100000000000002
248.0,11.67,2.94
249.0,11.82,1.82
250.0,11.65,3.04
251.0,11.84,1.87
252.0,11.65,2.79
253.0,11.84,1.92
254.0,11.5,3.5300000000000002
255.0,11.65,2.7
256.0,11.6,3.43
257.0,11.47,3.8200000000000003
258.0,11.79,2.31
259.0,11.67,2.99
260.0,11.74,2.2600000000000002
261.0,11.5,3.87
262.0,11.65,2.45
263.0,11.5,3.67
264.0,11.77,2.11
265.0,11.5,3.62
266.0,11.57,3.0900000000000003
267.0,11.72,2.7
268.0,11.55,3.0900000000000003
269.0,11.62,2.84
270.0,11.72,2.7
271.0,11.77,2.35
272.0,11.5,3.67
273.0,11.52,3.3800000000000003
274.0,11.69,2.84
275.0,11.62,3.14
276.0,11.52,3.33
277.0,11.79,1.92
278.0,11.77,2.0100000000000002
279.0,11.67,2.65
280.0,11.79,1.82
281.0,11.72,2.7
282.0,11.79,2.16
283.0,11.57,3.48
284.0,11.5,3.5300000000000002
285.0,11.57,3.33
286.0,11.57,2.89
287.0,11.67,2.35
288.0,11.6,3.18
289.0,11.52,3.5300000000000002
290.0,11.74,2.11
291.0,11.69,2.2600000000000002
292.0,11.79,1.82
293.0,11.77,2.31
294.0,11.77,1.92
295.0,11.62,3.0900000000000003
296.0,11.77,1.96
297.0,11.82,1.82
298.0,11.69,2.21
299.0,11.82,2.35
300.0,11.47,3.77
301.0,11.6,2.89
302.0,11.72,2.2600000000000002
303.0,11.47,3.43
304.0,11.55,3.14
305.0,11.5,3.48
306.0,11.77,1.87
307.0,11.77,1.82
308.0,11.55,3.62
309.0,11.57,2.94
310.0,11.45,3.72
311.0,11.69,2.2600000000000002
312.0,11.62,2.5
313.0,11.65,2.7
314.0,11.57,3.43
315.0,11.52,3.14
316.0,11.5,3.2800000000000002
317.0,11.79,1.77
318.0,11.65,2.4
319.0,11.77,2.21
320.0,11.6,2.75
321.0,11.77,2.21
322.0,11.69,2.2600000000000002
323.0,11.67,2.7
324.0,11.6,2.89
325.0,11.52,3.5300000000000002
326.0,11.57,2.94
327.0,11.47,3.77
328.0,11.72,2.2600000000000002
329.0,11.47,3.43
330.0,11.6,3.14
331.0,11.72,2.11
332.0,11.77,2.21
333.0,11.79,2.06
334.0,11.55,3.62
335.0,11.57,3.62
336.0,11.67,2.55
337.0,11.72,2.31
338.0,11.57,3.33
339.0,11.6,3.33
340.0,11.55,3.2800000000000002
341.0,11.69,2.7
342.0,11.52,3.43
343.0,11.72,2.11
344.0,11.79,1.72
345.0,11.5,3.23
346.0,11.65,2.31
347.0,11.6,2.99
348.0,11.5,3.33
349.0,11.55,3.43
350.0,11.47,3.3800000000000003
351.0,11.52,3.62
352.0,11.57,2.84
353.0,11.5,3.0900000000000003
354.0,11.74,1.96
355.0,11.65,2.35
356.0,11.77,2.11
357.0,11.52,3.43
358.0,11.55,3.3800000000000003
