Waktu (detik),Tegangan (V),Arus (A)
241.0,12.09,3.54
242.0,12.08,3.58
243.0,12.07,3.68
244.0,12.07,3.73
245.0,12.07,3.77
246.0,12.08,3.64
247.0,12.08,3.71
248.0,12.06,3.8400000000000003
249.0,12.08,3.71
250.0,12.09,3.6
251.0,12.08,3.67
252.0,12.07,3.75
253.0,12.09,3.6300000000000003
254.0,12.08,3.62
255.0,12.09,3.5700000000000003
256.0,12.1,3.54
257.0,12.1,3.47
258.0,12.12,3.3600000000000003
259.0,12.1,3.49
260.0,12.08,3.66
261.0,12.09,3.56
262.0,12.1,3.52
263.0,12.09,3.62
264.0,12.09,3.66
265.0,12.09,3.71
266.0,12.07,3.83
267.0,12.07,3.85
268.0,12.06,3.96
269.0,12.06,3.9
270.0,12.07,3.8600000000000003
271.0,12.07,3.81
272.0,12.07,3.81
273.0,12.07,3.81
274.0,12.06,3.83
275.0,12.07,3.79
276.0,12.06,3.8200000000000003
277.0,12.07,3.79
278.0,12.08,3.64
279.0,12.1,3.5300000000000002
280.0,12.11,3.5
281.0,12.11,3.5
282.0,12.11,3.47
283.0,12.12,3.4
284.0,12.13,3.37
285.0,12.11,3.5300000000000002
286.0,12.12,3.42
287.0,12.11,3.5100000000000002
288.0,12.11,3.49
289.0,12.09,3.58
290.0,12.1,3.52
291.0,12.1,3.5100000000000002
292.0,12.09,3.58
293.0,12.09,3.5500000000000003
294.0,12.08,3.6100000000000003
295.0,12.08,3.62
296.0,12.08,3.5900000000000003
297.0,12.07,3.62
298.0,12.06,3.74
299.0,12.06,3.77
300.0,12.04,3.91
301.0,12.03,4.03
302.0,12.02,4.07
303.0,12.01,4.16
304.0,12.02,4.06
305.0,12.04,3.93
306.0,12.04,3.91
307.0,12.06,3.77
308.0,12.06,3.81
309.0,12.06,3.7800000000000002
310.0,12.07,3.7600000000000002
311.0,12.07,3.77
312.0,12.07,3.75
313.0,12.08,3.69
314.0,12.07,3.81
315.0,12.07,3.83
316.0,12.06,3.9
317.0,12.07,3.8600000000000003
318.0,12.08,3.72
319.0,12.08,3.72
320.0,12.08,3.71
321.0,12.07,3.72
322.0,12.09,3.58
323.0,12.08,3.65
324.0,12.08,3.56
325.0,12.07,3.6
326.0,12.07,3.64
327.0,12.06,3.7
328.0,12.06,3.7600000000000002
329.0,12.07,3.71
330.0,12.07,3.74
331.0,12.07,3.74
332.0,12.06,3.8200000000000003
333.0,12.07,3.79
334.0,12.08,3.73
335.0,12.09,3.6300000000000003
336.0,12.09,3.64
337.0,12.09,3.6
338.0,12.09,3.5900000000000003
339.0,12.09,3.52
340.0,12.11,3.4
341.0,12.12,3.29
342.0,12.13,3.27
343.0,12.13,3.19
344.0,12.12,3.31
345.0,12.1,3.45
346.0,12.12,3.35
347.0,12.1,3.44
348.0,12.11,3.39
349.0,12.11,3.4
350.0,12.1,3.5
351.0,12.09,3.6
352.0,12.09,3.5300000000000002
353.0,12.09,3.6
354.0,12.09,3.58
355.0,12.09,3.6
356.0,12.08,3.7
357.0,12.09,3.65
358.0,12.09,3.66
359.0,12.09,3.69
360.0,12.08,3.69
361.0,12.08,3.64
362.0,12.06,3.81
363.0,12.07,3.74
364.0,12.08,3.65
365.0,12.08,3.58
366.0,12.09,3.52
367.0,12.08,3.54
368.0,12.06,3.67
369.0,12.06,3.67
370.0,12.06,3.69
371.0,12.06,3.69
372.0,12.07,3.65
373.0,12.05,3.7600000000000002
374.0,12.06,3.79
375.0,12.07,3.72
376.0,12.07,3.66
377.0,12.07,3.75
378.0,12.07,3.73
379.0,12.07,3.77
380.0,12.07,3.77
381.0,12.08,3.68
382.0,12.1,3.5700000000000003
383.0,12.1,3.5700000000000003
384.0,12.08,3.71
385.0,12.07,3.79
386.0,12.07,3.79
387.0,12.08,3.65
388.0,12.08,3.67
389.0,12.07,3.77
390.0,12.09,3.6300000000000003
391.0,12.08,3.68
392.0,12.08,3.69
393.0,12.09,3.62
394.0,12.11,3.48
395.0,12.12,3.39
396.0,12.11,3.48
397.0,12.1,3.5
398.0,12.1,3.5100000000000002
399.0,12.12,3.3600000000000003
400.0,12.1,3.45
401.0,12.09,3.54
402.0,12.08,3.5300000000000002
403.0,12.09,3.48
404.0,12.09,3.48
405.0,12.09,3.46
406.0,12.11,3.37
407.0,12.09,3.5
408.0,12.09,3.46
409.0,12.08,3.5900000000000003
410.0,12.08,3.56
411.0,12.08,3.58
412.0,12.08,3.6300000000000003
413.0,12.08,3.5900000000000003
414.0,12.08,3.6
415.0,12.07,3.7
416.0,12.06,3.7600000000000002
417.0,12.07,3.7
418.0,12.08,3.58
419.0,12.1,3.48
420.0,12.11,3.41
421.0,12.12,3.33
422.0,12.12,3.3400000000000003
423.0,12.11,3.48
424.0,12.1,3.52
425.0,12.09,3.58
426.0,12.1,3.5100000000000002
427.0,12.09,3.48
428.0,12.09,3.5
429.0,12.07,3.6100000000000003
430.0,12.07,3.64
431.0,12.06,3.73
432.0,12.06,3.7
433.0,12.06,3.68
434.0,12.07,3.67
435.0,12.08,3.52
436.0,12.08,3.6100000000000003
437.0,12.09,3.5900000000000003
438.0,12.08,3.64
439.0,12.08,3.62
440.0,12.08,3.66
441.0,12.08,3.65
442.0,12.08,3.72
443.0,12.08,3.73
444.0,12.07,3.8000000000000003
445.0,12.07,3.81
446.0,12.07,3.75
447.0,12.06,3.7800000000000002
448.0,12.07,3.72
449.0,12.08,3.62
450.0,12.08,3.6100000000000003
451.0,12.1,3.48
452.0,12.1,3.49
453.0,12.12,3.39
454.0,12.11,3.44
455.0,12.11,3.46
456.0,12.11,3.42
457.0,12.11,3.42
458.0,12.11,3.45
459.0,12.1,3.52
460.0,12.09,3.6
461.0,12.09,3.6
462.0,12.1,3.46
463.0,12.09,3.58
464.0,12.1,3.5
465.0,12.11,3.49
466.0,12.1,3.54
467.0,12.11,3.47
468.0,12.11,3.42
469.0,12.11,3.45
470.0,12.11,3.47
471.0,12.11,3.48
472.0,12.08,3.66
473.0,12.08,3.67
474.0,12.09,3.5900000000000003
475.0,12.08,3.66
476.0,12.09,3.6100000000000003
477.0,12.09,3.64
478.0,12.08,3.73
479.0,12.09,3.6
480.0,12.09,3.58
481.0,12.1,3.52
482.0,12.12,3.35
483.0,12.13,3.31
484.0,12.12,3.4
485.0,12.11,3.42
486.0,12.09,3.5300000000000002
487.0,12.08,3.58
488.0,12.08,3.6
489.0,12.07,3.74
490.0,12.08,3.6
491.0,12.08,3.64
492.0,12.07,3.77
493.0,12.07,3.75
494.0,12.07,3.69
495.0,12.08,3.64
496.0,12.08,3.64
497.0,12.09,3.62
498.0,12.08,3.68
499.0,12.09,3.6300000000000003
500.0,12.07,3.79
501.0,12.06,3.89
502.0,12.05,3.9
503.0,12.06,3.9
504.0,12.06,3.8400000000000003
505.0,12.06,3.87
506.0,12.07,3.8200000000000003
507.0,12.05,3.92
508.0,12.06,3.8600000000000003
509.0,12.06,3.89
510.0,12.06,3.8600000000000003
511.0,12.05,3.89
512.0,12.07,3.8200000000000003
513.0,12.08,3.75
514.0,12.07,3.79
515.0,12.06,3.8400000000000003
516.0,12.06,3.8400000000000003
517.0,12.07,3.7800000000000002
518.0,12.06,3.8200000000000003
519.0,12.07,3.77
520.0,12.08,3.65
521.0,12.09,3.56
522.0,12.09,3.5300000000000002
523.0,12.08,3.6
524.0,12.09,3.58
525.0,12.09,3.5900000000000003
526.0,12.1,3.5500000000000003
527.0,12.1,3.5700000000000003
528.0,12.12,3.43
529.0,12.11,3.47
530.0,12.1,3.56
531.0,12.11,3.5100000000000002
532.0,12.11,3.48
533.0,12.11,3.5300000000000002
534.0,12.09,3.68
535.0,12.1,3.56
536.0,12.09,3.6300000000000003
537.0,12.1,3.52
538.0,12.08,3.66
539.0,12.09,3.56
540.0,12.1,3.49
541.0,12.09,3.5700000000000003
542.0,12.08,3.66
543.0,12.08,3.58
544.0,12.08,3.5700000000000003
545.0,12.06,3.7
546.0,12.08,3.5700000000000003
547.0,12.08,3.56
548.0,12.09,3.54
549.0,12.08,3.64
